,Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
39337,39337,DJ Ötzi,Hey Baby,5g3rL93FXCoTZwP2zr9RE5,52,2012,party,0.627,0.908,6,-5.369,0,0.0401,0.0454,0.0,0.329,0.781,134.985,220707,4
39338,39338,The Fresh Beat Band,Here We Go,52eB3fHjyqjx9v05xhA7id,24,2012,party,0.7,0.943,5,-3.923,1,0.112,0.083,0.0,0.0443,0.963,156.034,113760,4
39339,39339,The Fresh Beat Band,Bananas,3eg4r7GstgTFRkEdpulRgW,24,2012,party,0.725,0.92,9,-4.978,1,0.144,0.133,0.0,0.0519,0.737,90.115,107427,4
39340,39340,The Learning Station,Colors,0RpD9WjEcnGNwRFA8H7s6p,30,2012,party,0.711,0.451,2,-9.168,1,0.0409,0.61,0.0,0.159,0.954,120.875,110839,4
39341,39341,Hokey Pokey Kids,Hokey Pokey,5FCNYQOqjYnXzOITsEEGPG,25,2012,party,0.775,0.3,8,-12.324,1,0.0586,0.831,0.0,0.301,0.919,131.989,191373,4
39342,39342,Imagination Movers,Firetruck,0EzgSr4MnoFSbrobhvdCyX,28,2012,party,0.801,0.686,11,-8.297,1,0.0906,0.0927,0.0,0.332,0.561,125.006,115003,4
39343,39343,Babyboomboom,London Bridge (Lúndūn Dàqiáo),0nU0O7aPqJaYW9F02b2N5y,34,2012,party,0.919,0.187,0,-13.599,1,0.082,0.907,0.0,0.101,0.484,114.091,59040,4
39344,39344,DJ Ötzi,I Need More Of You,1gk1iCwuu1MXx1H9KXeA6w,42,2012,party,0.636,0.881,7,-6.112,1,0.0272,0.0289,0.000169,0.312,0.911,119.986,216453,4
39345,39345,The Learning Station,Opposites,1aoqvMBKZA9Mq5bdBHzmtH,26,2012,party,0.851,0.655,7,-8.761,1,0.0782,0.216,0.0,0.0935,0.869,125.882,119825,4
39346,39346,Cha Cha Slide DJ's,Cupid Shuffle,7se25QsBBcuTpeW1zp1QoO,22,2012,party,0.882,0.393,8,-11.834,1,0.52,0.0284,0.0,0.138,0.92,71.99,217500,4
39347,39347,Little Apple Band,Dinosaur Train Theme,21fG8R4RNZKVJnrguWPUK2,26,2012,party,0.94,0.517,4,-8.608,0,0.254,0.494,0.0,0.145,0.962,110.19,60601,4
39348,39348,The Fresh Beat Band,Fresh Beat Band Theme Song,4OZkIzQdJ4iPJrdyUWKWxA,21,2012,party,0.588,0.842,9,-4.384,1,0.392,0.0703,1.15e-06,0.049,0.827,184.271,49280,4
39349,39349,Hokey Pokey Kids,Twist And Shout,2WjYjbsTpovTK0XZ8AKSKZ,21,2012,party,0.487,0.612,2,-10.851,1,0.0288,0.771,0.0,0.316,0.834,127.965,151947,4
39350,39350,Imagination Movers,Animal Dancing,4VJeZIicjz8aWC81oYWqtd,25,2012,party,0.902,0.754,2,-7.014,0,0.105,0.156,0.000589,0.055,0.698,109.961,163540,4
