,Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
43212,43212,The KVB,Always Then,4ti3jFBiVjPE4t9WOzKkHW,55,2012,punk,0.471,0.713,1,-10.395,1,0.0341,0.138,0.819,0.173,0.528,137.029,251376,4
43213,43213,The Real McKenzies,The Tempest,6gXLYsEkqlhe41lWPdBKOx,47,2012,punk,0.476,0.539,10,-5.308,1,0.0571,0.0649,0.0,0.243,0.732,174.589,248733,4
43214,43214,The Bollox,Tura Lu,2ftkqHtPfuYkyy0oy76qBq,46,2012,punk,0.651,0.691,11,-7.991,1,0.0831,0.144,0.0,0.241,0.624,140.273,224732,4
43215,43215,Green Day,Oh Love,1qIgyDoc2rwtq8w49jeWL8,53,2012,punk,0.427,0.773,8,-4.222,1,0.115,0.00605,4.02e-06,0.0396,0.695,171.806,303293,4
43216,43216,Green Day,Stray Heart,2Q22sa3Y4lKXHHBBAxEhYY,54,2012,punk,0.628,0.943,1,-3.914,0,0.0402,0.000504,0.000237,0.152,0.743,104.041,224947,4
43217,43217,Green Day,Kill the DJ,6pwt5G9ZKwM6I0GKVfIBb4,51,2012,punk,0.67,0.954,9,-2.632,0,0.0363,0.000694,0.000271,0.133,0.882,105.998,221627,4
43218,43218,Paddy And The Rats,The Captain's Dead,7uDE8BEhRLOdUaRuFw6VGR,47,2012,punk,0.533,0.976,9,-1.818,0,0.0448,0.00104,7.8e-05,0.188,0.896,129.999,236000,4
43219,43219,blink-182,Pretty Little Girl,6rJKRar5Jf3Ec2FIhiog7Y,44,2012,punk,0.562,0.919,9,-6.434,1,0.0648,0.0248,2.84e-05,0.0951,0.654,169.952,260154,4
43220,43220,Green Day,Nuclear Family,206n37mZTmloL45RYhmMlP,47,2012,punk,0.437,0.988,4,-3.174,1,0.0727,7.4e-05,0.000338,0.599,0.625,175.976,183147,4
43221,43221,Boys Like Girls,Be Your Everything,5X1VGqaNrpXC8HBPEA4uDT,52,2012,punk,0.501,0.833,10,-4.954,1,0.0334,0.0303,0.0,0.0788,0.68,148.035,210707,4
43222,43222,All Time Low,The Reckless And The Brave,2oiPju78ZfnBRePyM95iq6,44,2012,punk,0.459,0.993,1,-2.365,1,0.126,0.000299,0.0,0.222,0.642,160.108,199491,4
43223,43223,Yellowcard,Awakening,0Orpf6gjHFDkrntyjLR4SF,42,2012,punk,0.303,0.98,1,-2.557,0,0.146,4.29e-05,9.51e-06,0.473,0.308,193.455,263922,4
