,mean squared error,R
0,188572260.5946488,-9.635241799544385
1,265917812.95001957,-54.43256829747856
2,38475278.33211116,-1.2285362566445621
3,111284904.36055735,-14.489400032435752
4,59078272.217940025,-1.3993936786543877
5,150713919.89109087,-80.83873908925074
6,49589943.59252804,-0.6195926462302155
7,148273917.53436172,-29.199562728142816
8,129941397.8549195,-20.553822404939805
9,143131945.59823608,-30.405011752795684
10,47264483.034069,-16.61022189277431
11,118022283.53090182,-7.572894642316534
12,97907332.64180437,-4.48024244043327
