,mean squared error,R
0,248118811.05393767,-6.412154007028863
1,75967674.61951797,-3.1300864754409883
2,101371590.29643734,-15.547806104294622
3,69773862.15418653,-7.833687957996483
4,131987071.56071998,-10.913456852670544
5,136525555.33001408,-12.212454949921062
6,150428284.66609114,-11.49378320717141
7,155761316.65817162,-58.36453162089332
8,63300687.43305047,-2.463137038029803
9,185040463.39539123,-12.715595670669286
10,95445554.0033585,-11.599070781675678
11,65550966.43740093,-8.991082702431088
12,120560812.30168402,-30.338748070838744
