,mean squared error,R
0,170239711.30703303,-17.695019055532335
1,88849647.29199101,-123.54545584564954
2,147243996.68920133,-5.146257642938753
3,182245331.27649677,-62.908790142697406
4,84842666.28047109,-28.44067627790109
5,99372700.49795681,-14.68601778326766
6,111797469.8561516,-0.4206822963132619
7,114485089.96335234,-57.01664895190257
8,164981626.10661647,-21.691199540953587
9,27892635.851787254,-3.2258203361587254
10,128048653.49993792,-4.662037050204182
11,131935166.79549457,-123.84253794588936
12,130143342.19534545,-70.33165078504717
