,mean squared error,R
0,20749403.365554333,-1.0409511320109783
1,88886362.0262682,-0.5660257183948603
2,150635058.72401744,-3.183036357195393
3,28440155.884592697,-4.659546953972789
4,169846624.67646864,-17.381978874151084
5,108596216.23468544,-1.8007434455155797
6,101017797.86136915,-8.547711977328655
7,147319450.60572097,-11.867956062844861
8,95285321.92147125,-45.820912672968255
9,145532684.66101444,-34.037037482669966
10,170518051.67056617,-9.397832388168164
11,105217093.21260637,-36.244915782670574
12,150384811.43479562,-54.54569839111
