,mean squared error,R
0,120817993.58737041,-6.746170273359154
1,109883347.0563509,-7.434142598687773
2,52428099.30357888,-3.876406606378965
3,183396811.45942822,-24.34483221619687
4,94634270.63740252,-5.979868411242695
5,59919762.78792232,-3.477175636819423
6,178630009.34411362,-9.508265652482956
7,139047169.89499128,-22.42957246830511
8,199738351.30567247,-15.690068896163083
9,169833484.21747345,-12.697879484351137
10,101473655.57841657,-7.7642525456563
11,135877340.3024484,-40.766521564674214
12,62316227.69887699,-3.984780783252301
