,mean squared error,R
0,132880904.42730181,-2.2461291428398916e+30
1,165660307.92201945,0.0
2,107993588.72484809,-2.2029364856061247e+27
3,57169624.733597554,-17.71846198870403
4,67260868.26747529,-2.4641561898590463
5,100281070.04096235,-7.388380909831149
6,147793210.73852408,-2.629293524434951
7,133584196.96672496,-24.79563204990847
8,95944145.88528948,-357.3439139518573
9,124263311.66004659,0.0
10,163515535.33581153,0.0
11,138730060.63486558,-12.711081556468066
12,127697464.28453311,-3.8594190418222258e+31
