,mean squared error,R
0,28932589.08663554,-0.8683475975220318
1,83182382.4188556,-5.122516524622853
2,166354816.97737876,-14.055866204773501
3,57661029.81255696,-3.8700969126423077
4,113488176.4194691,-9.880276691125033
5,53734893.62970474,-2.8689112503990026
6,54816693.293254405,-4.89818227285616
7,226461022.22879285,-2.84625289939203
8,67672529.7023057,-1.4495378767889484
9,153280351.71003765,-1.304440777754042
10,115828695.52767584,-1.5643848825138953
11,68764554.43808909,-2.458080097857415
12,100637264.06884411,-0.5886061485817624
