,mean squared error,R
0,83122648.88464087,-4.792316324407758
1,88491227.42503788,-1.542545123379587
2,83442738.72366926,-3.3568434730327885
3,130212253.20180309,-4.779118894722614
4,64146905.88603452,-1.7800838547742681
5,216936308.15315604,-11.578149362228931
6,64146764.40547244,-1.147000707048154
7,61100829.65813974,-2.294673243759292
8,58514576.220545605,-1.9551070490295088
9,118906386.3903887,-3.984247376931445
10,164920718.32327536,-8.912238599356026
11,143636549.12692058,-7.940165132195796
12,152890031.1615169,-5.670619162336871
