,mean squared error,R
0,197584602.77579623,-14.326342200423923
1,91110337.12151358,-11.641837678660977
2,84828180.23554908,-6.942482616067272
3,225459137.95557606,-5.2968974446154045
4,144867079.99183136,-6.043049190514384
5,153933276.95019948,-38.04415521150941
6,50316173.515657805,-0.6814171342108044
7,135498913.35633576,-7.1481543626463235
8,99612857.17994118,-21.216488647548758
9,102309520.1962294,-2.872649776284253
10,128709079.1434181,-14.629281272475888
11,43341490.34233694,-20.281395763492316
12,92537934.24077992,-5.3433233444299395
