,mean squared error,R
0,115352166.45639707,-7.081615844546926
1,74315793.01426381,-15.473474478688292
2,145172097.0647407,-6.783889566288999
3,109924284.5986986,-0.2631833281439684
4,170497980.46035084,-12.050505701143717
5,56305503.581243955,-1.3047958680855851
6,101940278.61953056,-8.029493781833038
7,96244852.08242805,-4.067112825887437
8,97996081.17095676,-15.74991396221533
9,136940549.10782614,-13.83029547148183
10,46359702.29163956,-1.435339398241588
11,76204381.09764355,-2.8719230127655075
12,232864782.0928237,-14.969235728180543
