,mean squared error,R
0,124082313.79360299,-7.976166101771996
1,41345907.337023035,-0.7608743332642924
2,144479798.75600708,-8.18778974649422
3,43604797.237506,-1.1938705334860433
4,148711666.77065718,-6.245355001200529
5,90201332.0750674,-2.0275873325217706
6,70733157.954782,-3.393436892995264
7,75633911.09724258,-0.882920921474702
8,128180828.64534529,-12.689097638787647
9,94232275.29560375,-3.3767004045954607
10,155923043.365461,-5.604497312804916
11,253242424.50122204,-9.933474705357783
12,114876653.39615923,-5.18324789996359
