,mean squared error,R
0,69968413.76450019,-4.2748484137473275
1,42432725.871795304,-5.129801790304302e+31
2,103747362.3868904,-7.685311686134904
3,54583934.181605786,-5.54908624574057
4,149652812.88026968,-14.372244975039285
5,309671131.1691902,-64.11563018770251
6,155382410.05558902,-11.526208934275129
7,88560997.36376742,-32.15072759271952
8,43303231.70086083,0.0
9,178800975.49145144,-11.397785934800586
10,115941385.30138753,-26.065409123645185
11,214389646.38126922,0.0
12,176887560.6113121,-11.970058728909637
