,mean squared error,R
0,44734257.25510182,-0.5148884758642445
1,128919318.18131843,-5.332076968232879
2,193340953.642081,-10.930603112993635
3,78561328.77652301,-3.4126411019196228
4,118200042.9091876,-7.2852327398659895
5,86378242.73007166,-3.21001459150394
6,35964980.82661405,-1.2443101685727664
7,130151523.85592197,-4.51143825609849
8,117195719.66351971,-2.643012856531926
9,214884631.77406234,-12.140792725273117
10,131792443.73142458,-5.309855327916079
11,66691298.85270649,-3.3559417439159054
12,90785622.18926717,-3.905331390189544
