,mean squared error,R
0,173687475.49218643,0.0
1,76402084.38835807,-0.3624269534798057
2,146854553.98457423,-82.09215859072798
3,162491309.3123775,-0.35298928666140084
4,76376285.24922067,-2.0489081112155407
5,144308397.42665848,-2.0656602838854723
6,195211179.50472918,-6.35997911454309
7,16838195.79671383,-0.3411900690506573
8,67020557.43734212,-4.683019083257543
9,63631718.429319836,-0.9116972646872938
10,88993095.62963381,-5.703282445126308
11,123743046.02299607,-11.422050988561935
12,61390254.39623716,-2.983953417392711
