,mean squared error,R
0,100398280.42193489,-5.640738477471512
1,90037451.96017301,-3.832545194887171
2,182176112.87125382,-8.735642357035253
3,81118504.41103064,-3.2494365991987237
4,125272970.2058562,-3.541847288984327
5,75559982.32661219,-2.430128115638678
6,59267208.52898131,-1.4712991677930325
7,54284005.82507453,-2.059975870441185
8,100573579.58187966,-4.2780347201029265
9,90180796.50593024,-4.749032068160069
10,216294503.52619427,-7.688689519782191
11,144174734.52567235,-6.915744677420803
12,154189364.00971875,-5.300781412154633
