,mean squared error,R
0,140383036.19187576,-9.847781067010768
1,224362136.47886673,-18.28391543215782
2,178053191.84412873,0.0
3,182154244.75541592,-25.24955183916902
4,73480861.07385051,-6.238589830672526
5,76498114.14197601,-6.0034926129864195
6,53287201.41213782,-1.2503547685556455
7,180910698.9561956,-10.173713456061918
8,46998047.787933156,-3.333025506605037
9,51794914.70107265,-4.884331745751214
10,174112918.1071371,-23.41706784294971
11,106274918.18544938,-24.21778485330311
12,157131457.83216617,-30.422117230310416
